,NAME,type
0,cathepsin L-like cysteine proteinase [Taenia solium],pork tapeworm
1,CAAX prenyl protease 1 homolog,pork tapeworm
2,trypsin-like protein [Taenia solium],pork tapeworm
3,"cathepsin L-like protease, partial [Taenia solium]",pork tapeworm
4,"hypothetical protein, partial [Taenia solium]",pork tapeworm
5,unnamed protein product [Taenia asiatica],Taenia asiatica
6,glutamate synthase [Echinococcus multilocularis],Echinococcus multilocularis
7,unnamed protein product [Taenia asiatica],Taenia asiatica
8,unnamed protein product [Taenia asiatica],Taenia asiatica
9,unnamed protein product [Taenia asiatica],Taenia asiatica
10,RNA directed DNA polymerase reverse transcriptase [Echinococcus multilocularis],Echinococcus multilocularis
11,unnamed protein product [Taenia asiatica],Taenia asiatica
12,USP6 N terminal protein [Echinococcus multilocularis],Echinococcus multilocularis
13,unnamed protein product [Taenia asiatica],Taenia asiatica
14,puromycin sensitive aminopeptidase [Echinococcus granulosus],Echinococcus granulosus
15,unnamed protein product [Taenia asiatica],Taenia asiatica
16,unnamed protein product [Taenia asiatica],Taenia asiatica
17,"unnamed protein product, partial [Taenia asiatica]",Taenia asiatica
18,Puromycin-sensitive aminopeptidase [Echinococcus granulosus],Echinococcus granulosus
19,unnamed protein product [Taenia asiatica],Taenia asiatica
20,"unnamed protein product, partial [Taenia asiatica]",Taenia asiatica
21,unnamed protein product [Taenia asiatica],Taenia asiatica
22,unnamed protein product [Taenia asiatica],Taenia asiatica
23,unnamed protein product [Taenia asiatica],Taenia asiatica
24,Zinc metalloproteinase nas-29 [Echinococcus granulosus],Echinococcus granulosus
25,unnamed protein product [Taenia asiatica],Taenia asiatica
26,unnamed protein product [Taenia asiatica],Taenia asiatica
27,OTU domain-containing protein 3 [Echinococcus granulosus],Echinococcus granulosus
28,unnamed protein product [Taenia asiatica],Taenia asiatica
29,unnamed protein product [Taenia asiatica],Taenia asiatica
30,unnamed protein product [Taenia asiatica],Taenia asiatica
31,subfamily M12B unassigned peptidase [Echinococcus granulosus],Echinococcus granulosus
32,unnamed protein product [Hydatigera taeniaeformis],Hydatigera taeniaeformis
33,unnamed protein product [Taenia asiatica],Taenia asiatica
34,unnamed protein product [Taenia asiatica],Taenia asiatica
35,unnamed protein product [Taenia asiatica],Taenia asiatica
36,"nardilysin, partial [Echinococcus granulosus]",Echinococcus granulosus
37,unnamed protein product [Hydatigera taeniaeformis],Hydatigera taeniaeformis
38,Puromycin-sensitive aminopeptidase [Echinococcus granulosus],Echinococcus granulosus
39,Leishmanolysin-like peptidase [Echinococcus granulosus],Echinococcus granulosus
40,unnamed protein product [Taenia asiatica],Taenia asiatica
41,unnamed protein product [Taenia asiatica],Taenia asiatica
42,unnamed protein product [Taenia asiatica],Taenia asiatica
43,disintegrin and metalloproteinase [Echinococcus multilocularis],Echinococcus multilocularis
44,unnamed protein product [Taenia asiatica],Taenia asiatica
45,unnamed protein product [Taenia asiatica],Taenia asiatica
46,unnamed protein product [Taenia asiatica],Taenia asiatica
47,unnamed protein product [Taenia asiatica],Taenia asiatica
48,unnamed protein product [Hydatigera taeniaeformis],Hydatigera taeniaeformis
49,unnamed protein product [Taenia asiatica],Taenia asiatica
50,unnamed protein product [Taenia asiatica],Taenia asiatica
51,unnamed protein product [Taenia asiatica],Taenia asiatica
52,unnamed protein product [Taenia asiatica],Taenia asiatica
53,ubiquitin carboxyl terminal hydrolase 8 [Echinococcus granulosus],Echinococcus granulosus
54,Blood coagulation inhibitor Disintegrin [Echinococcus granulosus],Echinococcus granulosus
55,adam 17 protease [Echinococcus granulosus],Echinococcus granulosus
56,cathepsin L cysteine protease [Echinococcus multilocularis],Echinococcus multilocularis
57,serine protease HTRA2 mitochondrial [Echinococcus granulosus],Echinococcus granulosus
58,puromycin sensitive aminopeptidase [Echinococcus granulosus],Echinococcus granulosus
59,unnamed protein product [Taenia asiatica],Taenia asiatica
60,subfamily M14A unassigned peptidase [Echinococcus granulosus],Echinococcus granulosus
61,unnamed protein product [Taenia asiatica],Taenia asiatica
62,ubiquitin carboxyl terminal hydrolase 5 [Echinococcus multilocularis],Echinococcus multilocularis
63,"unnamed protein product, partial [Taenia asiatica]",Taenia asiatica
64,unnamed protein product [Taenia asiatica],Taenia asiatica
